Loaded 10000 rollouts
Loaded 10000 rollouts
Ignored short sequence #2146: len=89, num_frames=101
Ignored short sequence #2149: len=98, num_frames=101
Ignored short sequence #2151: len=78, num_frames=101
Ignored short sequence #2152: len=67, num_frames=101
Ignored short sequence #2154: len=73, num_frames=101
Ignored short sequence #2156: len=99, num_frames=101
Ignored short sequence #2160: len=89, num_frames=101
Ignored short sequence #2169: len=82, num_frames=101
Ignored short sequence #2174: len=92, num_frames=101
Ignored short sequence #2177: len=81, num_frames=101
Ignored short sequence #2179: len=73, num_frames=101
Ignored short sequence #2181: len=67, num_frames=101
Ignored short sequence #2189: len=71, num_frames=101
Ignored short sequence #2190: len=90, num_frames=101
Ignored short sequence #2191: len=94, num_frames=101
Ignored short sequence #2192: len=85, num_frames=101
Ignored short sequence #2193: len=92, num_frames=101
Ignored short sequence #2194: len=92, num_frames=101
Ignored short sequence #2196: len=78, num_frames=101
Ignored short sequence #2198: len=98, num_frames=101
Ignored short sequence #2200: len=95, num_frames=101
Ignored short sequence #2207: len=69, num_frames=101
Ignored short sequence #2208: len=92, num_frames=101
Ignored short sequence #2212: len=95, num_frames=101
Ignored short sequence #2214: len=92, num_frames=101
Ignored short sequence #2227: len=95, num_frames=101
Ignored short sequence #2231: len=67, num_frames=101
Ignored short sequence #2236: len=98, num_frames=101
Ignored short sequence #2245: len=73, num_frames=101
Ignored short sequence #2247: len=83, num_frames=101
Ignored short sequence #2248: len=89, num_frames=101
Ignored short sequence #2251: len=98, num_frames=101
Ignored short sequence #2261: len=97, num_frames=101
Ignored short sequence #2262: len=99, num_frames=101
Ignored short sequence #2263: len=70, num_frames=101
Ignored short sequence #2265: len=100, num_frames=101
Ignored short sequence #2271: len=85, num_frames=101
Ignored short sequence #2273: len=95, num_frames=101
Ignored short sequence #2283: len=78, num_frames=101
Ignored short sequence #2286: len=68, num_frames=101
Ignored short sequence #2296: len=85, num_frames=101
Ignored short sequence #2298: len=90, num_frames=101
Ignored short sequence #2300: len=92, num_frames=101
Ignored short sequence #2301: len=92, num_frames=101
Ignored short sequence #2305: len=83, num_frames=101
Ignored short sequence #2315: len=90, num_frames=101
